"Document","Target_Word","Preceding_Word","Following_Word"
"7189","public","liber","sphere,"
"7193","public","german","account"
"7196","share","unit","demonstr"
"7201","public","participant-wit","spectacles."
"7204","share","determin","music"
"7205","open","print","access"
"7211","open","georgia","histori"
"7211","open","publish","digit"
"7211","public","organizations,","research"
"7211","share","scholarship.","broad"
"7217","public","despit","without"
"7217","public","initi","1859."
"7220","public","however,","recent"
"7225","public","responses.","research"
"7226","public","time","often"
"7229","open","ohio","library."
"7230","public","black","life."
"7234","public","bodi","spaces."
"7235","public","lead","book-length"
"7252","share","cours","project-bas"
"7259","public","cost","human"
"7261","public","bais)","heritag"
"7261","public","tradit","history,"
"7261","public","propos","heritag"
"7261","public","outcom","heritag"
"7263","public","vari","educ"
"7266","public","guid","access."
"7267","public","depart","instruct"
"7267","public","-servic","school"
"7271","public","impact","events,"
"7273","open","life,","regardless"
"7273","public","history/film","speaking."
"7284","public","interest","scholar"
"7288","public","alike,","will"
"7289","public","admir","figures."
"7290","public","scholar","public"
"7290","public","public","communic"
"7292","public","expedit","project"
"7292","public","avail","scholar"
"7295","public","post-soviet","sphere:"
"7295","public","russia","sphere"
"7296","public","cultur","sphere."
"7296","public","subsequ","print"
"7298","public","dedic","service,"
"7299","public","complet","paper"
"7300","share","serv","cultur"
"7302","public","argu","heretofor"
"7303","share","threat.","conven"
"7304","open","will","uniqu"
"7307","public","schott","sale,"
"7316","public","support","program"
"7323","public","cost","human"
"7325","public","remain","eye—"
"7328","share","explor","history,"
"7330","public","repackag","televis"
"7333","public","neh","human"
"7334","public","innov","program"
"7334","public","deeper","appreci"
"7334","public","sessions,","discuss"
"7336","public","widespread","interest"
"7336","public","bring","human"
"7336","public","press","issu"
"7336","share","provid","human"
"7338","public","find","panel"
"7341","public","request","human"
"7341","public","suit","programs,"
"7343","open","polic","fire"
"7343","public","partnership","theater"
"7343","public","develop","program"
"7346","share","project","insight"
"7353","public","facet","theatr"
"7357","share","relat","themes,"
"7359","open","build","framework"
"7360","open","histori","scholars,"
"7361","public","provid","librari"
"7363","public","rise","web."
"7367","public","america.","date"
"7386","public","research","engag"
"7391","share","live","person"
"7395","share","will","college’"
"7404","open","workshop,","librari"
"7411","open","ensur","public."
"7412","public","columbus-lownd","librari"
"7418","public","cours","program"
"7420","public","creat","access"
"7422","public","history,","education,"
"7431","public","halls,","art"
"7431","public","role","art"
"7433","share","process","stori"
"7434","public","discuss","health"
"7434","public","signific","health"
"7434","public","old","health"
"7435","public","held","offic"
"7435","public","readabl","use"
"7437","share","guid","moral"
"7439","public","influenc","discuss"
"7440","public","lead","tanaquil,"
"7441","public","symbol","corruption,"
"7443","public","series.","lectur"
"7443","public","host","librari"
"7456","public","degre","critic"
"7474","public","boston","librari"
"7476","public","fit","privat"
"7477","public","york","library,"
"7482","share","dialogue,","divers"
"7483","share","tool","way"
"7484","share","extend","communal"
"7492","public","additionally,","histori"
"7494","open","waiver)","educ"
"7494","public","share","cc0"
"7494","share","practic","new"
"7494","share","will","public"
"7495","public","remak","history."
"7500","open","recent","montgomeri"
"7502","public","year","saturday"
"7503","public","american","assess"
"7506","public","research","effort"
"7507","public","increas","awar"
"7507","share","(discuss","roadmap)."
"7509","public","make","avail"
"7509","public","broader","across"
